probeset_id	gene_symbol	Plasma	Memory	Naive	GC	Highly Expressed in B cells (PBMC) and highly expressed in B cell subsets
201387_s_at	UCHL1	9.101812371	8.120668847	6.638631786	10.45569303	GC-
202240_at	PLK1	8.658827587	8.198627897	4.885485888	10.93441968	GC-
202964_s_at	RFX5	9.594044525	11.35822766	9.910374444	11.23518232	GC-
202967_at	GSTA4	10.22975185	9.2593187	8.977657616	10.63866157	GC-
202998_s_at	LOXL2	9.092088422	8.695712603	6.177314351	12.31055406	GC-
203210_s_at	RFC5	6.975879327	8.729631109	4.66194072	9.633463536	GC-
203284_s_at	HS2ST1	10.85714102	9.999721211	8.502155459	11.94099587	GC-
203418_at	CCNA2	9.382220146	8.454982225	6.91668476	11.03513775	GC-
203435_s_at	MMP12	6.847275925	6.473586169	6.028401804	11.42169153	GC-
203492_x_at	CEP57	10.45402623	10.77936996	8.947819413	11.72069589	GC-
203520_s_at	ZNF318	8.378934637	9.120693456	8.710960798	10.1687951	GC-
203554_x_at	PTTG1	11.69479613	11.65510396	7.656842736	14.41018225	GC-
203608_at	ALDH5A1	10.16051527	10.89696249	8.12753664	11.24606643	GC-
203819_s_at	IGF2BP3	6.551823249	9.488031911	7.137704304	10.76186696	GC-
203881_s_at	DMD	7.147018291	8.468423597	5.460776416	10.86255889	GC-
204208_at	RNGTT	10.67764921	12.26349413	9.438986672	12.76937152	GC-
204581_at	CD22	7.029957027	13.01208042	12.68695416	13.71030957	GC-
204681_s_at	RAPGEF5	9.094052221	8.462637317	5.372862128	12.18930222	GC-
204698_at	ISG20	13.43979263	12.40152792	12.44633064	13.82540735	GC-
204814_at	CADPS	5.329714073	3.699607976	6.346491082	6.987685333	GC-
205124_at	LOC729991-MEF2B	8.462733592	7.071775364	4.862345141	11.36601469	GC-
205297_s_at	CD79B	11.24963453	13.07229444	12.71967803	14.21490793	GC-
205414_s_at	RICH2	7.930239704	8.126960547	6.319797724	9.11915004	GC-
205780_at	BIK	10.35804885	9.467943251	4.83774444	12.06342094	GC-
206864_s_at	HRK	7.163627621	7.842867218	9.454814675	9.381205333	GC-
206865_at	HRK	6.165731051	4.897502664	7.372997828	8.118019915	GC-
207165_at	HMMR	9.503550044	9.134794484	6.407889909	12.75244505	GC-
207176_s_at	CD80	9.810715954	8.980132907	8.319409105	9.993896512	GC-
207821_s_at	PTK2	8.409895846	9.657975453	8.645849907	10.6682232	GC-
208086_s_at	DMD	7.014261886	6.480121561	4.504818271	7.877739843	GC-
208456_s_at	RRAS2	9.73594371	9.849288355	8.641485906	11.97766684	GC-
208644_at	PARP1	11.94364488	11.90691656	10.34562925	13.49621607	GC-
