probeset_id	gene_symbol	Monocytes	B-cells	T-cells	pDCs	NK	mDCs	Highly Expressed in PBMC type
1007_s_at	DDR1	8.731071934	9.45465409	8.294454989	7.260350447	8.279805871	5.599018395	B-cells-
200606_at	DSP	5.590726835	8.499615767	5.465454787	4.823902395	5.234848822	4.672037655	B-cells-
200771_at	LAMC1	7.954119999	9.398805811	6.050935815	7.353525735	7.272407212	3.854080438	B-cells-
200795_at	SPARCL1	5.233779865	6.584043154	4.782288861	4.622626153	5.019873309	5.381656196	B-cells-
201248_s_at	SREBF2	9.088794682	9.261714133	8.261365933	8.007718424	8.00164302	8.023584397	B-cells-
201287_s_at	SDC1	6.260458689	8.119933571	6.409094188	7.005509571	7.880222876	6.543113824	B-cells-
201387_s_at	UCHL1	5.976455295	8.37975941	5.58505359	4.758414465	6.286411895	4.155417111	B-cells-
201445_at	CNN3	4.007696577	7.388197081	5.395289584	2.81234373	5.350446164	3.088870029	B-cells-
201578_at	PODXL	7.123679476	7.853430389	6.50055813	6.163700044	5.770989103	5.349859796	B-cells-
201688_s_at	TPD52	6.269755228	11.31762172	8.969816126	6.413194724	8.432317892	4.193329985	B-cells-
201689_s_at	TPD52	6.023270968	11.55148408	9.609660852	9.170158055	9.062227489	7.313799219	B-cells-
201690_s_at	TPD52	6.927136611	12.36799883	10.95493558	9.044101012	10.32339206	8.131886917	B-cells-
201691_s_at	TPD52	4.249683347	8.59175681	7.026231299	5.474942078	6.363596228	5.120890951	B-cells-
201781_s_at	AIP	8.63590789	9.730392249	9.416343383	8.220701031	7.81500179	8.510947623	B-cells-
201819_at	SCARB1	6.378142972	8.531768591	6.014519057	7.125236775	6.809393062	5.670392004	B-cells-
201889_at	FAM3C	11.04943249	12.03422221	10.17761006	9.906551345	10.68879581	9.356833535	B-cells-
201893_x_at	DCN	6.488247938	7.750637632	6.473398231	6.338902871	7.109176473	6.193619196	B-cells-
201998_at	ST6GAL1	9.987081154	13.44751458	12.0010695	9.93374204	11.84634509	10.12806806	B-cells-
202114_at	SNX2	10.0581193	11.36489855	10.13639963	9.667844468	9.388234677	10.85411109	B-cells-
202240_at	PLK1	6.651812694	7.68317695	6.513217741	5.693421655	6.211531284	6.055455289	B-cells-
202342_s_at	TRIM2	5.218995793	6.730525148	6.157206125	2.284496765	5.409004383	3.702050207	B-cells-
202448_s_at	ZER1	6.924968129	7.591317505	6.437942436	4.930348826	5.780375249	4.813296119	B-cells-
202619_s_at	PLOD2	5.821935048	6.276302404	4.789856256	4.35700888	4.959274737	3.020544007	B-cells-
202732_at	PKIG	7.751186755	11.22610664	7.614390805	7.107050162	7.863829859	5.217832647	B-cells-
202770_s_at	CCNG2	9.652233223	10.61388915	9.52416074	8.608975034	8.800187112	7.846307478	B-cells-
202796_at	SYNPO	5.465604311	8.242498823	5.723830923	6.190581024	6.812655621	5.439130088	B-cells-
202964_s_at	RFX5	8.821983232	10.26012944	8.868827016	8.415730003	9.115955415	8.653005988	B-cells-
202967_at	GSTA4	7.536036361	9.006561548	8.20364554	6.032738269	7.795524596	4.058089603	B-cells-
